iter	Passed	Remaining
813	13140	3002
814	13157	2986
815	13172	2970
816	13188	2954
817	13203	2937
818	13219	2921
819	13234	2905
820	13249	2888
821	13265	2872
822	13280	2856
823	13296	2839
824	13311	2823
825	13326	2807
826	13342	2791
827	13357	2774
828	13373	2758
829	13389	2742
830	13404	2726
831	13419	2709
832	13434	2693
833	13450	2677
834	13465	2660
835	13480	2644
836	13495	2628
837	13509	2611
838	13524	2595
839	13540	2579
840	13556	2563
841	13573	2546
842	13589	2530
843	13606	2514
844	13622	2498
845	13637	2482
846	13652	2466
847	13667	2449
848	13683	2433
849	13697	2417
850	13713	2401
851	13728	2384
852	13743	2368
853	13758	2352
854	13775	2336
855	13789	2319
856	13805	2303
857	13820	2287
858	13835	2271
859	13851	2254
860	13866	2238
861	13881	2222
862	13896	2206
863	13914	2190
864	13932	2174
865	13950	2158
866	13966	2142
867	13981	2126
868	13997	2110
869	14012	2093
870	14027	2077
871	14042	2061
872	14058	2045
873	14073	2028
874	14088	2012
875	14103	1996
876	14118	1980
877	14134	1963
878	14149	1947
879	14165	1931
880	14181	1915
881	14197	1899
882	14212	1883
883	14227	1866
884	14242	1850
885	14258	1834
886	14273	1818
887	14289	1802
888	14304	1786
889	14320	1769
890	14334	1753
891	14349	1737
892	14364	1721
893	14380	1705
894	14394	1688
895	14410	1672
896	14424	1656
897	14439	1640
898	14454	1623
899	14469	1607
900	14484	1591
901	14500	1575
902	14515	1559
903	14530	1543
904	14544	1526
905	14560	1510
906	14576	1494
907	14591	1478
908	14607	1462
909	14622	1446
910	14638	1430
911	14653	1413
912	14668	1397
913	14683	1381
914	14698	1365
915	14713	1349
916	14730	1333
917	14745	1317
918	14760	1300
919	14774	1284
920	14789	1268
921	14804	1252
922	14820	1236
923	14835	1220
924	14851	1204
925	14866	1188
926	14881	1171
927	14897	1155
928	14912	1139
929	14927	1123
930	14942	1107
931	14958	1091
932	14974	1075
933	14989	1059
934	15004	1043
935	15018	1026
936	15033	1010
937	15048	994
938	15064	978
939	15080	962
940	15096	946
941	15112	930
942	15129	914
943	15145	898
944	15160	882
945	15175	866
946	15190	850
947	15205	834
948	15221	818
949	15236	801
950	15252	785
951	15267	769
952	15282	753
953	15297	737
954	15313	721
955	15328	705
956	15343	689
957	15359	673
958	15374	657
959	15389	641
960	15405	625
961	15420	609
962	15435	593
963	15449	576
964	15464	560
965	15479	544
966	15494	528
967	15509	512
968	15524	496
969	15540	480
970	15555	464
971	15571	448
972	15586	432
973	15601	416
974	15617	400
975	15632	384
976	15647	368
977	15663	352
978	15678	336
979	15693	320
980	15709	304
981	15726	288
982	15742	272
983	15759	256
984	15774	240
985	15790	224
986	15805	208
987	15820	192
988	15836	176
989	15850	160
990	15866	144
991	15881	128
992	15900	112
993	15915	96
994	15931	80
995	15947	64
996	15963	48
997	15979	32
998	15995	16
999	16011	0
